Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2020-12-20,Lorient,Rennes,0,3,A,0,1,A,,11,15,2,4,19,9,1,2,1,2,0,0,2020_2021,covid
2020-12-20,Lille,Paris SG,0,0,D,0,0,D,,8,8,3,1,12,11,4,5,0,2,0,0,2020_2021,covid
2020-12-23,Bordeaux,Reims,1,3,A,0,2,A,,9,10,3,5,11,12,5,5,3,1,0,0,2020_2021,covid
2020-12-23,Lens,Brest,2,1,H,2,0,H,,11,10,4,3,13,13,3,6,0,2,0,0,2020_2021,covid
2020-12-23,Nice,Lorient,2,2,D,2,0,H,,3,24,3,6,11,13,0,10,3,4,1,0,2020_2021,covid
2020-12-23,Nimes,Dijon,1,3,A,1,0,H,,8,14,1,4,10,11,7,3,2,2,1,0,2020_2021,covid
2020-12-23,Rennes,Metz,1,0,H,0,0,D,,11,9,6,4,14,18,6,5,1,1,0,0,2020_2021,covid
2020-12-23,Angers,Marseille,2,1,H,2,0,H,,9,9,2,3,14,14,2,8,2,4,0,0,2020_2021,covid
2020-12-23,Lyon,Nantes,3,0,H,3,0,H,,22,18,11,4,11,13,9,7,1,3,0,0,2020_2021,covid
2020-12-23,Monaco,St Etienne,2,2,D,1,2,A,,2,18,2,6,12,13,0,10,3,2,1,0,2020_2021,covid
2020-12-23,Montpellier,Lille,2,3,A,0,1,A,,17,9,6,7,13,11,6,4,3,2,0,0,2020_2021,covid
2020-12-23,Paris SG,Strasbourg,4,0,H,1,0,H,,17,8,8,2,7,9,5,5,0,0,0,0,2020_2021,covid
2021-01-06,Brest,Nice,2,0,H,2,0,H,,10,12,6,6,12,8,6,6,2,3,0,0,2020_2021,covid
2021-01-06,Lorient,Monaco,2,5,A,1,1,D,,11,16,5,9,9,9,5,8,1,3,1,0,2020_2021,covid
2021-01-06,Metz,Bordeaux,0,0,D,0,0,D,,9,12,3,3,10,20,3,2,1,2,0,0,2020_2021,covid
2021-01-06,Nantes,Rennes,0,0,D,0,0,D,,7,8,2,0,13,13,6,3,2,2,0,0,2020_2021,covid
2021-01-06,Strasbourg,Nimes,5,0,H,3,0,H,,21,6,12,2,12,6,10,5,1,2,0,0,2020_2021,covid
2021-01-06,Lille,Angers,1,2,A,1,2,A,,7,7,2,3,12,10,8,6,3,1,0,0,2020_2021,covid
2021-01-06,Lyon,Lens,3,2,H,1,0,H,,11,10,6,2,7,10,7,4,1,2,0,0,2020_2021,covid
2021-01-06,Marseille,Montpellier,3,1,H,1,0,H,,18,13,8,5,4,6,5,1,0,0,0,0,2020_2021,covid
2021-01-06,Reims,Dijon,0,0,D,0,0,D,,9,8,3,0,13,8,7,5,2,3,0,0,2020_2021,covid
2021-01-06,St Etienne,Paris SG,1,1,D,1,1,D,,11,10,5,4,13,12,9,10,1,1,0,0,2020_2021,covid
2021-01-09,Bordeaux,Lorient,2,1,H,2,1,H,,16,12,6,4,10,10,5,3,2,0,0,0,2020_2021,covid
2021-01-09,Dijon,Marseille,0,0,D,0,0,D,,5,11,0,4,13,13,0,6,3,2,0,0,2020_2021,covid
2021-01-09,Lens,Strasbourg,0,1,A,0,1,A,,11,10,2,4,16,15,4,4,1,1,0,0,2020_2021,covid
2021-01-09,Metz,Nice,1,1,D,0,1,A,,16,11,5,4,19,8,5,2,2,2,0,0,2020_2021,covid
2021-01-09,Monaco,Angers,3,0,H,1,0,H,,14,6,5,2,9,10,5,2,2,0,0,0,2020_2021,covid
2021-01-09,Montpellier,Nantes,1,1,D,1,0,H,,8,12,6,3,18,11,1,8,5,0,0,0,2020_2021,covid
2021-01-09,Nimes,Lille,0,1,A,0,1,A,,7,10,0,2,12,13,2,3,0,3,0,0,2020_2021,covid
2021-01-09,Paris SG,Brest,3,0,H,1,0,H,,22,12,11,2,7,13,7,4,1,1,0,0,2020_2021,covid
2021-01-09,Reims,St Etienne,3,1,H,2,0,H,,7,14,3,6,19,17,0,3,2,4,0,0,2020_2021,covid
2021-01-09,Rennes,Lyon,2,2,D,1,0,H,,14,13,6,4,12,16,2,5,1,2,0,0,2020_2021,covid
2021-01-15,Montpellier,Monaco,2,3,A,0,2,A,,9,16,3,5,17,12,5,6,2,3,0,0,2020_2021,covid
2021-01-16,Marseille,Nimes,1,2,A,0,0,D,,14,8,6,5,13,6,7,3,2,2,0,0,2020_2021,covid
2021-01-16,Angers,Paris SG,0,1,A,0,0,D,,11,12,4,3,11,13,5,7,0,2,0,0,2020_2021,covid
2021-01-17,Brest,Rennes,1,2,A,1,1,D,,14,7,4,4,9,8,3,3,1,1,0,0,2020_2021,covid
2021-01-17,Nantes,Lens,1,1,D,1,0,H,,10,8,2,1,14,19,2,4,3,3,0,0,2020_2021,covid
2021-01-17,Nice,Bordeaux,0,3,A,0,0,D,,10,17,1,9,8,7,3,10,0,1,0,0,2020_2021,covid
2021-01-17,Strasbourg,St Etienne,1,0,H,1,0,H,,15,8,3,3,23,9,7,3,2,2,0,0,2020_2021,covid
2021-01-17,Lille,Reims,2,1,H,0,1,A,,16,8,8,4,13,11,3,5,2,1,0,0,2020_2021,covid
2021-01-17,Lyon,Metz,0,1,A,0,0,D,,23,17,5,3,14,11,9,2,1,3,0,0,2020_2021,covid
2021-01-20,Marseille,Lens,0,1,A,0,0,D,,4,13,1,4,13,11,3,9,5,3,0,0,2020_2021,covid
2021-01-22,Paris SG,Montpellier,4,0,H,1,0,H,,26,5,8,1,16,12,7,1,2,1,0,1,2020_2021,covid
2021-01-23,Lens,Nice,0,1,A,0,0,D,,13,7,3,2,9,14,6,2,2,1,0,0,2020_2021,covid
2021-01-23,Monaco,Marseille,3,1,H,0,1,A,,8,5,6,1,18,21,5,4,3,5,0,0,2020_2021,covid
2021-01-24,Bordeaux,Angers,2,1,H,2,1,H,,7,15,3,7,11,20,3,4,1,2,0,0,2020_2021,covid
2021-01-24,Dijon,Strasbourg,1,1,D,0,0,D,,5,15,3,2,14,9,3,4,1,0,0,0,2020_2021,covid
2021-01-24,Metz,Nantes,2,0,H,1,0,H,,14,8,4,0,15,15,4,6,3,1,0,0,2020_2021,covid
2021-01-24,Reims,Brest,1,0,H,1,0,H,,12,17,2,1,16,11,2,4,3,0,0,0,2020_2021,covid
2021-01-24,Rennes,Lille,0,1,A,0,1,A,,11,9,2,4,12,15,2,2,2,2,0,0,2020_2021,covid
2021-01-24,St Etienne,Lyon,0,5,A,0,2,A,,3,19,0,12,13,9,1,8,3,1,0,0,2020_2021,covid
2021-01-27,Lorient,Dijon,3,2,H,1,2,A,,14,7,5,2,13,17,9,6,2,3,0,0,2020_2021,covid
2021-01-29,Lyon,Bordeaux,2,1,H,1,0,H,,10,12,4,2,17,6,7,9,1,2,0,0,2020_2021,covid
2021-01-30,Montpellier,Lens,1,2,A,0,1,A,,17,11,7,2,15,17,12,3,4,4,0,0,2020_2021,covid
2021-01-31,Nice,St Etienne,0,1,A,0,0,D,,7,10,2,1,11,11,4,10,2,2,0,0,2020_2021,covid
2021-01-31,Angers,Nimes,3,1,H,2,1,H,,12,8,5,4,9,7,4,8,1,3,0,0,2020_2021,covid
2021-01-31,Brest,Metz,2,4,A,1,1,D,,10,15,5,6,13,14,4,1,1,3,0,0,2020_2021,covid
2021-01-31,Lorient,Paris SG,3,2,H,1,1,D,,16,14,5,3,15,9,7,9,4,2,0,0,2020_2021,covid
